497,261,2
1021,535,1
394,779,2
370,198,1
538,396,1
624,877,2
333,769,2
755,655,1
284,724,2
668,809,2
921,390,1
504,278,2
517,38,1
620,708,2
754,850,2
482,628,2
463,747,1
97,726,2
527,343,2
321,652,2
821,188,1
421,380,1
457,894,2
500,810,1
557,707,1
890,349,1
311,496,2
885,618,1
354,656,2
837,619,1
166,595,2
456,27,2
875,665,1
435,872,2
499,194,2
385,438,1
647,978,2
282,415,2
398,218,1
129,439,2
938,805,1
959,408,1
30,496,2
722,176,1
381,849,2
214,851,2
861,533,1
295,625,2
388,690,2
338,610,2
814,683,1
626,391,1
578,256,2
500,706,1
798,763,1
414,843,2
435,137,1
148,233,2
772,303,1
815,860,1
195,693,2
365,152,1
821,610,1
383,324,1
956,690,1
325,391,1
412,935,2
499,510,1
357,333,1
605,911,2
696,443,1
811,855,1
961,310,1
374,848,2
220,471,2
432,157,1
527,717,1
826,383,1
593,460,1
574,827,1
66,485,2
609,992,2
61,529,2
520,283,2
437,694,2
502,407,1
659,141,1
241,199,2
898,235,1
412,125,1
535,58,1
305,482,2
621,710,2
668,771,2
252,734,2
730,224,1
620,551,2
381,600,2
638,728,2
725,401,1
389,420,1
829,653,1
575,579,2
857,802,1
245,922,2
898,518,1
184,269,2
446,529,2
851,264,1
187,815,2
600,397,1
344,983,2
353,988,2
254,893,2
102,303,2
135,454,2
753,522,1
756,325,1
438,1010,2
487,750,1
629,807,2
422,286,1
636,931,2
763,376,1
687,531,1
288,474,2
56,671,2
459,716,1
337,106,2
321,210,1
181,604,2
709,266,1
872,174,1
293,900,2
332,146,1
306,901,2
735,777,2
701,77,1
368,562,2
162,543,2
209,781,2
407,728,2
910,558,1
947,643,1
457,901,2
565,353,2
280,481,2
642,804,2
269,611,2
310,682,2
926,634,1
863,490,1
830,158,1
244,648,2
532,726,1
562,329,2
110,583,2
290,953,2
925,267,1
634,397,1
324,247,1
828,178,1
956,760,1
315,513,2
667,96,1
88,716,2
229,685,2
871,378,1
881,458,1
846,605,1
473,612,2
335,619,2
827,434,1
688,411,1
238,166,2
424,984,2
109,283,2
393,669,2
531,63,1
185,820,2
803,445,1
915,713,1
744,175,1
237,194,2
701,434,1
123,522,2
865,863,1
807,421,1
272,879,2
342,449,2
664,570,2
879,445,1
113,421,2
318,104,2
656,862,2
716,242,1
218,520,2
246,428,2
85,499,2
975,645,1
307,442,2
317,581,2
832,514,1
781,343,1
197,709,2
263,473,2
905,331,1
314,708,2
603,901,2
856,321,1
699,188,1
632,489,1
463,351,1
678,418,1
546,245,2
250,708,2
692,622,2
883,815,1
492,650,2
443,112,1
461,787,1
585,573,2
143,240,2
678,136,1
781,944,1
560,819,1
825,346,1
785,200,1
822,785,1
461,153,1
480,736,1
846,389,1
496,772,1
249,546,2
412,966,2
44,526,2
529,174,2
196,646,2
136,296,2
672,933,2
589,854,2
920,337,1
937,617,1
166,832,2
511,844,1
983,566,1
221,387,2
299,194,1
193,310,2
672,570,2
132,507,2
851,295,1
197,802,2
459,531,2
703,242,1
773,398,1
918,368,1
558,337,2
795,820,1
317,198,1
743,138,1
710,416,1
743,962,1
255,180,2
126,812,2
354,805,2
893,327,1
83,479,2
628,45,1
981,577,1
853,575,1
612,785,1
386,187,1
970,545,1
666,623,2
830,779,1
780,708,1
1021,523,1
876,554,1
734,532,1
863,603,1
649,910,2
96,663,2
709,660,2
672,677,2
229,809,2
339,327,1
616,772,1
437,769,1
439,467,1
486,301,2
706,540,1
673,953,2
297,571,2
644,115,1
453,63,1
909,826,1
449,940,2
88,526,2
250,679,2
690,618,2
376,331,1
434,680,2
391,74,1
505,58,1
336,123,1
914,401,1
611,367,1
85,685,2
877,567,1
211,387,2
833,606,1
390,173,1
214,515,2
892,403,1
523,449,1
231,558,2
823,430,1
729,766,2
611,837,2
542,91,1
744,143,1
336,535,2
498,795,1
665,455,1
745,464,1
583,480,1
384,578,2
693,441,1
504,819,1
894,225,1
860,323,1
427,601,2
124,595,2
371,433,1
315,897,2
553,355,2
270,302,2
335,83,2
419,845,2
